id	book	chapter	denomination	anger	disgust	fear	joy	sadness	openness	conscientiousness	extraversion	agreeableness	emotional_range	wc
341	Luke	14	Episcopal	0.125029	0.521618	0.117046	0.507316	0.541173	0.865311	0.767357	0.333571	0.918836	0.525171	1885
342	Matthew	2	Episcopal	0.127682	0.171296	0.112868	0.217351	0.549272	0.961658	0.827876	0.419955	0.689395	0.780099	1766
343	Matthew	1	Baptist	0.137991	0.156259	0.131237	0.515705	0.489401	0.903887	0.354737	0.168685	0.910724	0.547662	2842
344	John	2	Christian/Church Of Christ	0.115628	0.09072	0.074615	0.631505	0.199027	0.895165	0.836066	0.579779	0.670529	0.72342	2549
345	John	10	Independent/Bible	0.128018	0.125394	0.129007	0.567873	0.496402	0.894089	0.539501	0.149774	0.648441	0.654313	2802
346	John	1	Christian/Church Of Christ	0.123568	0.158593	0.126752	0.510917	0.553728	0.961449	0.447616	0.372822	0.58188	0.567797	2662
347	John	12	Baptist	0.13392	0.144639	0.142458	0.518031	0.557997	0.89813	0.787158	0.036869	0.844387	0.715545	1968
348	John	1	Christian/Church Of Christ	0.117119	0.113803	0.133108	0.582635	0.505752	0.900198	0.585988	0.142368	0.934048	0.717355	2141
349	Matthew	1	Methodist	0.130366	0.13844	0.127158	0.554234	0.539971	0.915669	0.425239	0.281197	0.666318	0.469258	657
350	Psalms	11	Charismatic	0.174749	0.524332	0.120295	0.446993	0.521948	0.950529	0.741009	0.404382	0.135433	0.64159	1621
351	Luke	2	Presbyterian/Reformed	0.090585	0.109678	0.099353	0.622253	0.189568	0.949701	0.722624	0.169734	0.593995	0.757003	2525
352	James	4	Baptist	0.132779	0.162035	0.180399	0.487838	0.519695	0.703449	0.788624	0.0528	0.471667	0.629417	1454
353	Mark	2	Evangelical Free	0.163386	0.175945	0.123199	0.509968	0.254026	0.871317	0.862113	0.407257	0.752455	0.791413	854
354	Philippians	2	Baptist	0.115611	0.482676	0.059762	0.646567	0.570958	0.799075	0.846276	0.328435	0.914526	0.56127	2697
355	Matthew	1	Independent/Bible	0.162865	0.151458	0.140712	0.171022	0.575886	0.732674	0.253229	0.28599	0.785774	0.391677	1000
356	John	1	Foursquare	0.1134	0.111914	0.08951	0.606685	0.190397	0.889264	0.701451	0.068181	0.652725	0.627064	2333
357	Luke	24	Baptist	0.164413	0.469898	0.126247	0.525843	0.5571	0.827482	0.684768	0.085528	0.5788	0.698118	2260
358	Isaiah	55	Christian/Church Of Christ	0.12539	0.112547	0.166271	0.447494	0.629082	0.661786	0.773744	0.089273	0.92672	0.56938	2903
359	Romans	8	Evangelical/Non-Denominational	0.129607	0.152834	0.184991	0.180479	0.503391	0.976443	0.843588	0.177779	0.667028	0.658537	529
360	Hebrews	10	Foursquare	0.144999	0.096397	0.118814	0.577552	0.473136	0.689974	0.917954	0.147018	0.888974	0.615793	2429
361	Song of Songs	7	Christian Missionary Alliance	0.11494	0.10086	0.088115	0.647928	0.441018	0.88083	0.802825	0.102684	0.794146	0.484715	1529
362	Luke	2	Christian/Church Of Christ	0.108511	0.078967	0.099352	0.631754	0.194354	0.90965	0.730063	0.280074	0.930578	0.688886	2331
363	Mark	14	Evangelical/Non-Denominational	0.148116	0.197315	0.171139	0.499516	0.527802	0.837053	0.474113	0.182112	0.84032	0.55369	2864
364	Luke	23	Baptist	0.152631	0.163841	0.163691	0.144836	0.58459	0.874097	0.612628	0.088565	0.624027	0.659267	1881
365	Joel	2	Lutheran	0.112033	0.100456	0.148746	0.596389	0.211499	0.797172	0.945116	0.278033	0.678411	0.567855	584
366	Genesis	22	Baptist	0.114486	0.118252	0.135635	0.621333	0.55033	0.644525	0.779074	0.027406	0.876088	0.605741	538
367	2 Timothy,  1 Timothy	2, 3	Christian/Church Of Christ	0.173887	0.163479	0.131686	0.469011	0.258863	0.926068	0.736571	0.168307	0.922017	0.601889	2634
368	Hebrews	10	Evangelical/Non-Denominational	0.182343	0.177293	0.136539	0.492052	0.517002	0.834001	0.834341	0.094259	0.67441	0.678439	2756
369	Luke	17	Assembly Of God	0.134089	0.133187	0.122835	0.579695	0.535455	0.795303	0.782683	0.064415	0.92268	0.623749	2284
370	Exodus,  Jeremiah,  Leviticus	23, 8, 23	Christian/Church Of Christ	0.15593	0.117184	0.117627	0.548104	0.526825	0.910861	0.75262	0.065665	0.221637	0.762281	1251
371	John	11	Christian/Church Of Christ	0.146751	0.189146	0.135936	0.122145	0.626648	0.857483	0.735305	0.183797	0.842383	0.61259	2091
372	1 Peter	5	Baptist	0.150393	0.118257	0.140409	0.498982	0.537872	0.779861	0.265481	0.054468	0.457232	0.456549	306
373	2 Chronicles,  James	16, 1	Assembly Of God	0.523245	0.16045	0.204513	0.492097	0.508627	0.794855	0.381142	0.308871	0.769418	0.526129	1753
374	Song of Songs	7	Christian Missionary Alliance	0.146838	0.138221	0.489183	0.541346	0.231893	0.914044	0.43138	0.105866	0.617331	0.301288	1557
375	Philippians	3	Baptist	0.135305	0.148527	0.112408	0.514695	0.570193	0.772302	0.847888	0.155752	0.875595	0.690718	1854
376	1 Peter	3	Christian/Church Of Christ	0.148264	0.145388	0.093085	0.529263	0.51845	0.647374	0.842228	0.292485	0.870239	0.511609	2199
377	Isaiah,  Matthew	7, 1	Catholic	0.121701	0.087469	0.149652	0.535504	0.524484	0.860307	0.523505	0.289172	0.760424	0.463765	827
378	John	1	Catholic	0.179892	0.177026	0.148164	0.505158	0.56581	0.940381	0.631782	0.1685	0.432844	0.70358	699
379	Psalms	23	Baptist	0.16025	0.145863	0.599168	0.112307	0.519601	0.843493	0.761615	0.171031	0.764241	0.567272	3031
380	Psalms,  James	15, 3	Christian/Church Of Christ	0.118079	0.13916	0.107546	0.592913	0.565774	0.912224	0.420268	0.182376	0.701482	0.547284	2930
381	Hebrews	2	Assembly Of God	0.123299	0.137879	0.156549	0.475711	0.2652	0.843209	0.607356	0.009113	0.658551	0.539609	2417
382	Matthew	1	Assembly Of God	0.182186	0.154096	0.182496	0.130126	0.521589	0.765057	0.301384	0.181683	0.77078	0.659611	2941
383	Mark	14	Assembly Of God	0.211465	0.193806	0.172632	0.122785	0.506238	0.753249	0.683254	0.243203	0.601898	0.704182	2470
384	Revelation	2	Pentecostal	0.128347	0.4508	0.524993	0.205349	0.58238	0.653495	0.479852	0.341614	0.781613	0.613563	401
385	Psalms,  Psalms	72, 72	Evangelical/Non-Denominational	0.104783	0.090666	0.098378	0.603963	0.232768	0.946867	0.859939	0.302543	0.823348	0.839398	579
386	Genesis	32	Evangelical/Non-Denominational	0.158775	0.147006	0.153055	0.492515	0.573544	0.754847	0.626692	0.187182	0.618818	0.466326	2759
387	2 Corinthians	9	Baptist	0.480408	0.515816	0.132547	0.152036	0.524571	0.777151	0.914336	0.382558	0.743197	0.825913	3275
388	Philippians	4	Baptist	0.191771	0.132072	0.154637	0.543592	0.534536	0.75012	0.75262	0.483416	0.96732	0.714897	2830
389	Ephesians	3	Baptist	0.09162	0.114389	0.134382	0.585484	0.534224	0.77154	0.806705	0.277275	0.903521	0.745755	2890
390	James	5	Baptist	0.13646	0.114806	0.209833	0.500172	0.557824	0.7746	0.702711	0.107952	0.865218	0.603104	3047
391	Luke	2	Baptist	0.128989	0.133334	0.137337	0.542281	0.546798	0.781571	0.431529	0.418357	0.812013	0.66145	2995
392	Acts	21	Baptist	0.161255	0.152188	0.139958	0.48428	0.548869	0.771172	0.910266	0.080342	0.826728	0.71513	1826
393	Acts	21	Baptist	0.157563	0.112738	0.167541	0.491213	0.52231	0.511678	0.929992	0.13396	0.921723	0.640979	1715
394	Acts	23	Baptist	0.167174	0.533633	0.141587	0.438882	0.521504	0.690564	0.558349	0.154633	0.927849	0.599087	1587
395	Acts	24	Baptist	0.173725	0.506654	0.176798	0.103761	0.585803	0.817963	0.660985	0.148342	0.750013	0.605778	1892
396	Acts	9	Assembly Of God	0.105053	0.145312	0.605385	0.152062	0.596821	0.869812	0.68998	0.183008	0.791037	0.671717	1043
397	Acts	25	Baptist	0.143893	0.169331	0.117879	0.557498	0.540566	0.625656	0.794382	0.127022	0.839268	0.657999	1555
398	John	1	Christian/Church Of Christ	0.137855	0.175165	0.116647	0.496629	0.509669	0.91984	0.646098	0.107213	0.69911	0.759382	1661
399	Colossians	1	Christian/Church Of Christ	0.145722	0.112387	0.158314	0.548783	0.520961	0.880913	0.783219	0.199857	0.852076	0.74527	1673
400	Genesis,  John	1, 3	Foursquare	0.142626	0.542824	0.137892	0.502042	0.583175	0.868012	0.806851	0.090674	0.743534	0.619933	2960
401	Luke,  Ephesians	1, 5	Foursquare	0.087985	0.102199	0.135642	0.599739	0.215382	0.784412	0.906142	0.293323	0.914237	0.705063	2486
402	Matthew	11	Anglican	0.144333	0.150921	0.122674	0.45918	0.6067	0.874306	0.762613	0.175027	0.794161	0.668594	1240
403	Luke	2	Nazarene	0.107528	0.152273	0.086716	0.534721	0.558196	0.805751	0.689375	0.2351	0.730467	0.722912	1562
404	Luke	1	Christian/Church Of Christ	0.10796	0.096094	0.114359	0.602468	0.526393	0.77291	0.848564	0.722813	0.999242	0.6372	2042
405	Psalms,  Luke	103, 2	Assembly Of God	0.156944	0.177212	0.160795	0.476833	0.547479	0.760725	0.699885	0.195554	0.964826	0.745118	1767
406	Matthew	2	Pentecostal	0.459294	0.167517	0.111531	0.516748	0.53801	0.846397	0.682302	0.420584	0.709401	0.759332	1820
407	Philippians,  John	4, 1	Catholic	0.147781	0.173918	0.12758	0.549943	0.218779	0.875183	0.843725	0.209182	0.892655	0.627933	1113
408	Isaiah	35	Presbyterian/Reformed	0.152998	0.123303	0.492768	0.558344	0.443474	0.915157	0.706735	0.094055	0.485894	0.652995	2952
409	Matthew	2	Church Of God	0.104356	0.119306	0.132841	0.570298	0.501087	0.904982	0.646818	0.359448	0.836895	0.583013	1434
410	Matthew	2	Baptist	0.167147	0.145034	0.1359	0.551861	0.2631	0.923127	0.575624	0.357869	0.746309	0.684013	2888
411	John,  Luke	1, 2	Baptist	0.169893	0.1283	0.119061	0.471549	0.291411	0.775367	0.839073	0.348532	0.909933	0.7622	2837
412	Luke,  2 Chronicles	1, 16	Baptist	0.116493	0.142941	0.093838	0.577388	0.226605	0.91235	0.563965	0.581814	0.972951	0.619201	1600
413	Micah	5	Assembly Of God	0.144796	0.110429	0.098828	0.506021	0.542275	0.835241	0.912966	0.079238	0.875126	0.748338	1340
414	Galatians,  Hebrews	4, 2	Christian/Church Of Christ	0.161181	0.135771	0.167888	0.490084	0.594137	0.897688	0.577689	0.128517	0.875974	0.647256	2452
415	Galatians	4	Christian/Church Of Christ	0.161181	0.135771	0.167888	0.490084	0.594137	0.897718	0.577675	0.129485	0.876119	0.647792	2451
416	Romans,  Lamentations	8, 3	Baptist	0.148708	0.138076	0.159033	0.485789	0.612146	0.615908	0.792664	0.108513	0.93695	0.497261	1528
417	Isaiah	9	Baptist	0.180004	0.119768	0.119775	0.533727	0.50376	0.960983	0.843698	0.142464	0.761053	0.735532	2435
418	Luke	2	Baptist	0.129516	0.173754	0.113717	0.553502	0.516226	0.742659	0.140092	0.209016	0.7978	0.604252	1170
419	1 Corinthians	1	Baptist	0.491369	0.490197	0.126274	0.12031	0.548454	0.808643	0.604842	0.395811	0.545742	0.593112	1786
420	Luke	1	Pentecostal	0.15751	0.156012	0.148589	0.519558	0.532142	0.790863	0.546902	0.222489	0.923133	0.566938	3012
421	Acts	24	Baptist	0.185974	0.503592	0.171666	0.1203	0.573032	0.816149	0.664769	0.144904	0.745566	0.604088	1876
422	Acts	23	Baptist	0.167174	0.533633	0.141587	0.438882	0.521504	0.690564	0.558349	0.154633	0.927849	0.599087	1587
423	Matthew	12	Christian/Church Of Christ	0.149574	0.133172	0.611612	0.539448	0.246676	0.821566	0.843089	0.072424	0.636208	0.54552	2939
424	Acts	26	Baptist	0.483757	0.143511	0.163996	0.111572	0.579147	0.641854	0.787976	0.195625	0.970797	0.757302	1958
425	Nehemiah	1	Baptist	0.139698	0.142066	0.122564	0.519151	0.527673	0.741125	0.817384	0.177174	0.830215	0.725183	2012
426	Philippians	3	Christian/Church Of Christ	0.189625	0.092367	0.13324	0.564752	0.511197	0.518154	0.826074	0.174944	0.864053	0.422942	759
427	Philippians,  Philippians	3, 3	Baptist	0.112584	0.076265	0.063577	0.621534	0.544402	0.729612	0.848706	0.092956	0.929273	0.54352	2892
428	Matthew	2	Independent/Bible	0.180652	0.173129	0.135043	0.489771	0.612413	0.909068	0.230359	0.157849	0.43302	0.389046	1077
429	Matthew	16	Christian/Church Of Christ	0.162385	0.15925	0.142612	0.515831	0.512486	0.816259	0.704229	0.397507	0.776442	0.673704	3006
430	Luke	1	Christian/Church Of Christ	0.117363	0.10939	0.095831	0.599274	0.23299	0.842721	0.16735	0.292615	0.932714	0.408852	3006
431	Luke	1	Pentecostal	0.117946	0.113754	0.127392	0.578001	0.506035	0.701254	0.565788	0.380683	0.967726	0.496483	2804
432	Luke,  Luke	1, 1	Christian/Church Of Christ	0.123804	0.126661	0.121575	0.552314	0.533591	0.788408	0.553727	0.152612	0.822406	0.552734	2926
433	Matthew	16	Christian/Church Of Christ	0.133142	0.140562	0.155875	0.532776	0.453203	0.869442	0.829957	0.491883	0.728909	0.745349	2971
434	Mark	2	Evangelical Free	0.148467	0.142367	0.154573	0.487789	0.521386	0.826995	0.506314	0.205568	0.629964	0.513781	530
435	Romans	5	Christian/Church Of Christ	0.107032	0.07461	0.10659	0.616144	0.216373	0.862717	0.91314	0.058202	0.923003	0.659376	2166
436	Acts	3	Assembly Of God	0.546404	0.13305	0.129226	0.50095	0.508164	0.824535	0.3946	0.132111	0.720449	0.500722	2500
437	Luke	3	Wesleyan	0.114827	0.104901	0.122247	0.594376	0.505114	0.736527	0.899924	0.333123	0.979441	0.739708	778
438	Colossians	3	Wesleyan	0.109239	0.411328	0.06625	0.628702	0.550122	0.683383	0.900548	0.633779	0.847995	0.618631	272
439	Galatians	5	Wesleyan	0.141094	0.080443	0.122735	0.598459	0.462716	0.860073	0.832798	0.405271	0.664552	0.727347	355
440	1 Corinthians	16	Baptist	0.182533	0.175829	0.179046	0.481976	0.281463	0.768598	0.810339	0.522155	0.315003	0.762556	1810
441	Luke,  1 Samuel	4, 17	Baptist	0.15843	0.135169	0.154467	0.492562	0.587195	0.454759	0.108973	0.039718	0.315648	0.439354	2082
442	John	1	Baptist	0.138557	0.109711	0.115497	0.586054	0.541178	0.914394	0.766104	0.112396	0.885337	0.837356	1924
443	Genesis	7	Baptist	0.185925	0.452178	0.114503	0.484184	0.578882	0.698365	0.362052	0.011059	0.33975	0.578729	2076
444	1 Samuel	17	Baptist	0.225207	0.14439	0.159778	0.477812	0.520116	0.506706	0.80183	0.161206	0.641221	0.66915	1682
445	Mark	10	Christian/Church Of Christ	0.142909	0.119807	0.14183	0.539426	0.537144	0.624727	0.852343	0.291964	0.844044	0.559072	1567
446	Matthew	25	Christian/Church Of Christ	0.167261	0.16234	0.129162	0.554968	0.54884	0.770994	0.867593	0.14505	0.65889	0.560509	1950
447	Matthew	26	Christian/Church Of Christ	0.580438	0.135654	0.139487	0.416512	0.561159	0.848547	0.566646	0.233908	0.92797	0.416743	1069
448	Luke,  John	2, 14	Holiness	0.159148	0.132026	0.162054	0.506102	0.538841	0.668616	0.579569	0.115458	0.894901	0.377672	1862
449	Ephesians	4	Christian/Church Of Christ	0.097074	0.396259	0.104087	0.631698	0.164558	0.865915	0.76195	0.251218	0.73478	0.399497	1240
450	1 Corinthians	11	Baptist	0.156487	0.500199	0.111257	0.556839	0.48708	0.609737	0.972292	0.358367	0.859887	0.813484	1917
451	Isaiah,  John	9, 8	Foursquare	0.096305	0.149183	0.423882	0.534037	0.517122	0.942122	0.607036	0.170804	0.606279	0.603625	2373
452	Malachi	2	Baptist	0.179375	0.165573	0.112195	0.526986	0.497074	0.853923	0.812175	0.140197	0.704279	0.739605	1597
453	Matthew,  Matthew	2, 6	Holiness	0.122608	0.130708	0.105506	0.569715	0.522908	0.891229	0.896884	0.288634	0.960686	0.700019	1975
454	1 John	1	Evangelical Free	0.115472	0.135015	0.104143	0.637858	0.490301	0.831847	0.528908	0.245633	0.935931	0.636779	2731
455	Luke,  Jonah	11, 3	Evangelical/Non-Denominational	0.134778	0.179475	0.124804	0.500067	0.479151	0.946181	0.710976	0.21987	0.745472	0.705986	2818
456	Isaiah,  Romans	9, 5	Bible Church	0.092786	0.092723	0.081817	0.606135	0.554111	0.904266	0.868008	0.053562	0.817552	0.768136	1751
457	Isaiah	9	Christian/Church Of Christ	0.149223	0.153422	0.114751	0.501887	0.493305	0.837316	0.898063	0.311996	0.856279	0.847025	549
458	Luke	1	Evangelical/Non-Denominational	0.174464	0.571822	0.107821	0.488003	0.527348	0.953382	0.527438	0.132377	0.643047	0.77118	2197
459	Psalms	46	Baptist	0.18237	0.115024	0.173892	0.179954	0.521845	0.824432	0.444559	0.042326	0.374006	0.601807	1020
460	Deuteronomy,  Luke	28, 4	Assembly Of God	0.193573	0.175418	0.148216	0.111086	0.593472	0.933369	0.546199	0.130732	0.428357	0.669699	1757
461	Ephesians	5	Assembly Of God	0.164434	0.4812	0.147057	0.444665	0.512708	0.953394	0.540438	0.110401	0.84833	0.757179	2110
462	Genesis,  John	28, 1	Christian/Church Of Christ	0.153538	0.136008	0.158555	0.210325	0.513072	0.933147	0.471487	0.252501	0.374104	0.571743	2763
463	Philippians	3	Baptist	0.113619	0.123215	0.136509	0.478298	0.553747	0.854001	0.755828	0.154029	0.699628	0.560563	2016
464	Luke,  Romans	2, 14	Christian/Church Of Christ	0.119967	0.150746	0.106883	0.538618	0.259894	0.914268	0.568272	0.319568	0.580837	0.662331	2375
465	2 Corinthians	5	Baptist	0.156288	0.112717	0.168022	0.533523	0.571793	0.578432	0.956634	0.186091	0.933216	0.691677	1457
466	Matthew	28	Baptist	0.119898	0.507965	0.110819	0.516295	0.541046	0.89179	0.880983	0.158733	0.9045	0.615128	905
467	Romans	14	Nazarene	0.098813	0.11542	0.127453	0.607418	0.501347	0.824913	0.96379	0.141601	0.963182	0.683661	2113
468	1 Peter	1	Nazarene	0.086627	0.112958	0.096676	0.642992	0.502131	0.829044	0.845653	0.229249	0.956438	0.61217	2109
469	Luke	2	Assembly Of God	0.152867	0.122625	0.137783	0.512817	0.521357	0.817743	0.771997	0.293755	0.808645	0.715662	2215
470	1 Corinthians,  Revelation	4, 12	Christian/Church Of Christ	0.494169	0.158889	0.147092	0.489795	0.271055	0.945063	0.706434	0.11724	0.23563	0.587781	2960
471	2 Thessalonians,  2 Peter	1, 3	Assembly Of God	0.154843	0.127807	0.184378	0.479718	0.554645	0.768223	0.349531	0.174087	0.712292	0.320149	1803
472	Matthew	1	United Methodist	0.130958	0.126564	0.163293	0.518155	0.537585	0.738991	0.793756	0.245558	0.956281	0.476353	1744
473	Matthew	1	Anglican	0.131732	0.533122	0.178027	0.542558	0.48035	0.800751	0.235146	0.284638	0.763681	0.648089	1276
474	Matthew	1	Baptist	0.147275	0.188804	0.10968	0.503652	0.521324	0.857136	0.763483	0.310852	0.710182	0.824621	2597
475	1 John	4	Baptist	0.099668	0.106213	0.079548	0.635745	0.208729	0.842165	0.868571	0.183768	0.936282	0.835038	2139
476	John	17	Anglican	0.107893	0.138368	0.135772	0.537881	0.264091	0.907007	0.628803	0.17468	0.850223	0.527933	2282
477	Ephesians	1	Anglican	0.103369	0.097287	0.112907	0.597969	0.214802	0.862287	0.813691	0.105111	0.694071	0.668007	2347
478	Ephesians	2	Anglican	0.127338	0.17576	0.138579	0.504222	0.519546	0.78595	0.795797	0.069933	0.874398	0.615991	2703
479	Ephesians	3	Anglican	0.132786	0.121786	0.14595	0.528628	0.526747	0.85385	0.767066	0.132089	0.781527	0.661754	2566
480	Psalms	131	Nazarene	0.103812	0.449192	0.090773	0.620847	0.478901	0.744049	0.925198	0.284426	0.912042	0.703899	2849
481	Ephesians	4	Anglican	0.142176	0.163016	0.111997	0.526109	0.469755	0.860251	0.414546	0.165323	0.373692	0.411623	2350
482	Matthew	2	Nazarene	0.130094	0.155316	0.085167	0.54577	0.472461	0.938181	0.726241	0.315893	0.706484	0.749927	2937
483	Ephesians	4	Anglican	0.148594	0.13828	0.14378	0.511736	0.544709	0.707492	0.45632	0.108958	0.732858	0.442353	2420
484	Ephesians	5	Anglican	0.124791	0.154687	0.156619	0.568585	0.227105	0.885782	0.479003	0.290529	0.625463	0.412113	2453
485	Ephesians	5	Anglican	0.166574	0.183657	0.108877	0.522877	0.52942	0.72466	0.817556	0.353253	0.644624	0.62956	2668
486	Ephesians	6	Anglican	0.171667	0.128675	0.18991	0.485668	0.52002	0.881547	0.759278	0.123241	0.470929	0.704788	2742
487	Luke	22	Baptist	0.151936	0.128394	0.189753	0.130997	0.586795	0.744344	0.863597	0.159645	0.730744	0.714113	2476
488	Luke	16	Baptist	0.517352	0.130068	0.098054	0.510484	0.593367	0.688897	0.221325	0.031067	0.750406	0.487404	1349
489	Matthew	20	Baptist	0.157232	0.199836	0.138261	0.531115	0.504794	0.970118	0.784399	0.142472	0.854509	0.654522	574
490	John	1	Baptist	0.150944	0.440579	0.117707	0.508662	0.557803	0.575936	0.660163	0.240988	0.976259	0.526774	2296
491	Mark	7	Baptist	0.173523	0.128107	0.129097	0.499769	0.571777	0.768342	0.736875	0.336417	0.883911	0.578419	2755
492	Titus	2	Baptist	0.138997	0.214466	0.094116	0.565172	0.212256	0.712201	0.813797	0.763869	0.852042	0.62943	1508
493	2 Chronicles	20	Baptist	0.469283	0.147221	0.535621	0.141563	0.256073	0.865061	0.751355	0.132311	0.291415	0.770705	1664
494	Psalms	27	Baptist	0.171771	0.127592	0.195472	0.458148	0.499607	0.677883	0.589149	0.158926	0.542502	0.578651	1619
495	Ephesians	6	Baptist	0.178401	0.145036	0.160196	0.488486	0.527893	0.905874	0.830015	0.100761	0.443204	0.807829	1398
496	Ephesians	6	Baptist	0.1812	0.1761	0.155643	0.486506	0.528178	0.890285	0.770535	0.086927	0.538153	0.615048	2050
497	Hosea,  1 Timothy	4, 4	Evangelical/Non-Denominational	0.152848	0.495652	0.12499	0.580751	0.488418	0.910782	0.68713	0.283505	0.097692	0.555262	1411
498	Ephesians	6	Baptist	0.192317	0.456289	0.142192	0.151018	0.518359	0.788614	0.728126	0.261104	0.680016	0.637945	2385
499	Ephesians	6	Baptist	0.154759	0.147262	0.177967	0.520666	0.203596	0.774802	0.686681	0.272701	0.732608	0.665053	1841
500	John,  Hebrews	14, 11	Evangelical/Non-Denominational	0.150047	0.169033	0.107814	0.493868	0.551045	0.991171	0.38766	0.151239	0.51755	0.57605	1221
501	Luke,  John,  2 Corinthians	2, 3, 9	Anglican	0.146138	0.12792	0.105184	0.563149	0.571617	0.837376	0.671878	0.559009	0.975923	0.518031	2090
502	Proverbs,  Matthew	23, 26	Evangelical/Non-Denominational	0.135552	0.528874	0.446349	0.492716	0.531513	0.963865	0.433677	0.592908	0.082575	0.531663	2784
503	Acts	3	Pentecostal	0.13334	0.136475	0.116607	0.57594	0.501666	0.906077	0.484009	0.295653	0.739111	0.667856	2593
504	Luke	1	Christian/Church Of Christ	0.157233	0.117536	0.086872	0.596022	0.513597	0.845797	0.859477	0.281929	0.967689	0.705169	2047
505	Isaiah	7	Presbyterian/Reformed	0.177116	0.513111	0.179892	0.143134	0.531699	0.797865	0.690862	0.053272	0.532166	0.646783	3149
506	Matthew,  John	2, 1	Christian/Church Of Christ	0.138151	0.159732	0.103264	0.518581	0.282293	0.85027	0.741272	0.345729	0.909483	0.723261	2745
507	Hebrews,  Romans	11, 12	Church Of God	0.123202	0.09727	0.657232	0.464145	0.481534	0.902358	0.576803	0.033959	0.843051	0.50382	732
508	Luke	1	Catholic	0.119551	0.435178	0.109051	0.504205	0.549345	0.88659	0.646665	0.256054	0.702593	0.590878	707
509	Genesis	22	Baptist	0.173574	0.147681	0.146385	0.160744	0.555075	0.800481	0.862944	0.052124	0.744907	0.82728	1086
510	John,  2 Corinthians	3, 9	Assembly Of God	0.158213	0.140423	0.117643	0.58553	0.553216	0.915962	0.590755	0.415486	0.887367	0.724597	1400
511	John	8	Independent/Bible	0.436388	0.152924	0.137486	0.663404	0.498593	0.940741	0.676927	0.362452	0.716356	0.737496	2800
512	Psalms,  Psalms	118, 118	Evangelical/Non-Denominational	0.100302	0.08678	0.089643	0.60128	0.526075	0.96522	0.900769	0.500442	0.809043	0.934796	603
513	Jeremiah	10	Assembly Of God	0.164705	0.159362	0.516008	0.102742	0.594018	0.76418	0.742258	0.031355	0.716077	0.502046	692
514	Genesis	8	Assembly Of God	0.169867	0.518923	0.164901	0.111412	0.601098	0.736818	0.922239	0.049607	0.624914	0.661086	739
515	Matthew	7	Assembly Of God	0.135461	0.521399	0.123925	0.555203	0.486604	0.618993	0.975155	0.705031	0.861196	0.777785	695
516	Isaiah	40	Assembly Of God	0.166001	0.123004	0.186417	0.180625	0.510613	0.89967	0.924048	0.136121	0.53245	0.562356	471
517	Isaiah	7	Nazarene	0.123437	0.461889	0.10935	0.521492	0.540317	0.817547	0.850458	0.434325	0.930512	0.718104	1830
518	Matthew	2	Wesleyan	0.168074	0.179514	0.116926	0.537275	0.275033	0.852449	0.753746	0.331271	0.907603	0.694516	2911
519	Luke	2	Baptist	0.131362	0.491036	0.091008	0.502485	0.578311	0.896772	0.569569	0.182305	0.800833	0.469818	3092
520	Matthew	1	Baptist	0.124998	0.154927	0.112477	0.592108	0.551398	0.80288	0.683624	0.361634	0.994598	0.579999	1654
521	John	1	Anglican	0.131591	0.139486	0.147985	0.506276	0.538174	0.942016	0.603284	0.133664	0.65779	0.7842	1810
522	Matthew	1	Episcopal	0.146509	0.113918	0.118597	0.529707	0.516677	0.842557	0.761956	0.241285	0.949847	0.587545	2946
523	Psalms	126	United Methodist	0.101555	0.0926	0.093765	0.629727	0.583504	0.665519	0.602265	0.147646	0.948812	0.479141	2598
524	Luke	2	Wesleyan	0.071168	0.071292	0.10876	0.584614	0.671814	0.574767	0.97775	0.3057	0.995463	0.663932	343
525	Isaiah	9	Evangelical/Non-Denominational	0.097575	0.107419	0.10503	0.615557	0.496099	0.827474	0.823158	0.200437	0.863756	0.621272	1974
526	Galatians	4	Christian/Church Of Christ	0.114352	0.137571	0.090751	0.530294	0.561473	0.768669	0.477989	0.131759	0.78873	0.42886	2374
527	Exodus	1	Baptist	0.164769	0.188648	0.552699	0.545493	0.511569	0.85257	0.902841	0.161882	0.550923	0.724284	1253
528	Exodus	2	Baptist	0.105607	0.20625	0.150276	0.556677	0.5362	0.851083	0.765045	0.187624	0.663233	0.703842	1593
529	Exodus	2	Baptist	0.212934	0.135262	0.162045	0.47788	0.498836	0.69921	0.598723	0.147242	0.559764	0.722404	2180
530	Exodus	3	Baptist	0.167596	0.165076	0.14771	0.492155	0.569907	0.680782	0.452487	0.051756	0.650046	0.589348	2149
531	Matthew	1	United Methodist	0.161606	0.17351	0.139967	0.455259	0.493617	0.810867	0.882211	0.291548	0.910946	0.714758	2859
532	1 John,  Luke	4, 2	Christian/Church Of Christ	0.085234	0.091212	0.096987	0.663069	0.50605	0.846566	0.640792	0.199798	0.965002	0.448408	2214
533	Zephaniah	3	Baptist	0.172886	0.148897	0.112872	0.478301	0.485028	0.856332	0.933873	0.185299	0.738148	0.745373	1753
534	Luke	2	Baptist	0.145963	0.138486	0.116387	0.550868	0.526939	0.913361	0.642752	0.134741	0.703494	0.676862	2890
535	Philippians	2	Baptist	0.137785	0.138744	0.12223	0.473048	0.560265	0.847182	0.745009	0.131896	0.814275	0.722733	1523
536	Colossians	1	Christian/Church Of Christ	0.152908	0.176031	0.097262	0.495871	0.515906	0.857131	0.705785	0.248593	0.923779	0.633413	1696
