id	book	chapter	denomination	anger	disgust	fear	joy	sadness	openness	conscientiousness	extraversion	agreeableness	emotional_range	wc
190	Jeremiah	18	Nazarene	0.475487	0.190346	0.162255	0.541696	0.528977	0.889388	0.950662	0.476964	0.660738	0.823467	1508
191	Malachi	3	Pentecostal	0.148072	0.108486	0.09497	0.582439	0.213649	0.730016	0.883713	0.274243	0.53813	0.796853	451
192	Job	34	Calvary Chapel	0.161023	0.49026	0.49401	0.44348	0.589138	0.873018	0.730825	0.085217	0.698865	0.620386	3065
193	Mark	16	Pentecostal	0.117743	0.083198	0.105674	0.594333	0.499582	0.774423	0.778554	0.511527	0.751881	0.761793	674
194	Mark	16	Pentecostal	0.16852	0.071899	0.115769	0.533534	0.500033	0.689224	0.766822	0.066065	0.703214	0.645681	560
195	Revelation	20	Presbyterian/Reformed	0.116828	0.116735	0.58497	0.543626	0.489785	0.809476	0.891207	0.121427	0.464769	0.695042	3069
196	Jeremiah	23	United Methodist	0.119513	0.475945	0.13277	0.54189	0.544129	0.7744	0.706386	0.31232	0.526226	0.657381	1976
197	Joshua	1	Pentecostal	0.137799	0.13498	0.127082	0.493195	0.53393	0.882669	0.861228	0.16516	0.620844	0.750575	428
198	Exodus	1	Baptist	0.164769	0.188648	0.552699	0.545493	0.511569	0.85257	0.902841	0.161882	0.550923	0.724284	1253
199	Colossians	3	Christian/Church Of Christ	0.111203	0.096366	0.094987	0.631666	0.519378	0.578339	0.901285	0.362844	0.878615	0.68736	1991
200	Revelation	3	Presbyterian/Reformed	0.152713	0.159859	0.134243	0.510122	0.503136	0.939617	0.566103	0.245159	0.70223	0.641942	2806
201	Titus	3	Baptist	0.094948	0.096877	0.11311	0.652345	0.496238	0.85104	0.83092	0.359161	0.984796	0.682013	531
202	Luke	17	Catholic	0.122797	0.496489	0.110636	0.566465	0.570574	0.767366	0.981148	0.321525	0.754405	0.71504	675
203	Psalms	138	Christian/Church Of Christ	0.11715	0.122016	0.105037	0.582692	0.611203	0.533422	0.757361	0.07068	0.799597	0.371625	2922
204	2 Timothy	4	Presbyterian/Reformed	0.110243	0.136052	0.104724	0.558233	0.575435	0.732713	0.811157	0.385775	0.961384	0.829565	2769
205	John	15	Baptist	0.181683	0.171962	0.079291	0.565084	0.528238	0.89285	0.877305	0.282801	0.76171	0.668865	2280
206	Galatians	6	Baptist	0.141507	0.128629	0.155866	0.517834	0.566617	0.940391	0.727094	0.30145	0.337947	0.682065	2827
207	Luke	17	Baptist	0.147646	0.115127	0.113877	0.595614	0.544633	0.67196	0.865403	0.512254	0.988425	0.595418	2701
208	2 Thessalonians	3	Independent/Bible	0.147	0.114491	0.167893	0.568173	0.474688	0.927671	0.816284	0.159669	0.74776	0.642719	2897
209	Luke	23	United Methodist	0.187057	0.538471	0.094971	0.540998	0.564666	0.942754	0.675435	0.187046	0.645079	0.638349	561
210	Genesis	22	Lutheran	0.162958	0.125756	0.133729	0.514167	0.517925	0.640838	0.770864	0.060865	0.781251	0.769971	1958
211	2 Corinthians	12	Brethren	0.227545	0.162441	0.181288	0.514317	0.547349	0.832983	0.456909	0.14023	0.725606	0.611704	2839
212	1 Chronicles	16	Baptist	0.113199	0.123964	0.11012	0.598976	0.475302	0.859037	0.958418	0.148385	0.968548	0.781191	2464
213	Luke	17	Christian/Church Of Christ	0.142489	0.121927	0.17615	0.540803	0.546254	0.422328	0.42151	0.018492	0.941122	0.28913	1369
214	1 Timothy	6	Brethren	0.143385	0.169918	0.131988	0.53977	0.521326	0.872516	0.619378	0.361984	0.557892	0.567284	2583
215	Genesis	28	Church Of God	0.137597	0.121979	0.130981	0.52499	0.522176	0.818787	0.681194	0.160734	0.742448	0.721171	1610
216	Acts	8	Christian/Church Of Christ	0.142135	0.120972	0.546496	0.531297	0.553487	0.687308	0.709466	0.236737	0.934019	0.656341	1092
217	Ephesians,  Ephesians	4, 4	Christian/Church Of Christ	0.137306	0.12806	0.120274	0.517445	0.573121	0.784934	0.870384	0.30028	0.845828	0.727312	2418
218	Romans	12	Foursquare	0.153882	0.553017	0.145038	0.1863	0.484237	0.880791	0.479493	0.190108	0.611063	0.725327	2714
219	Luke	10	Baptist	0.528309	0.142933	0.139669	0.528162	0.546421	0.730041	0.663209	0.109943	0.871986	0.430681	2694
220	Colossians	1	Independent/Bible	0.155722	0.092726	0.102101	0.589871	0.485246	0.95004	0.825706	0.219419	0.64138	0.692669	2854
221	1 Corinthians	3	Anglican	0.142453	0.11646	0.132912	0.512528	0.544947	0.783575	0.90137	0.200719	0.458929	0.811676	776
222	Ephesians	5	Independent/Bible	0.133554	0.11615	0.109172	0.598405	0.480717	0.81931	0.574141	0.342897	0.829245	0.48328	1136
223	Genesis	37	Baptist	0.1236	0.127157	0.134277	0.507939	0.516887	0.7916	0.709248	0.10091	0.932215	0.634944	2779
224	John	4	Evangelical Free	0.154443	0.539906	0.118043	0.519254	0.185768	0.936704	0.597821	0.141492	0.569347	0.464624	823
225	Luke	23	Episcopal	0.116973	0.443758	0.121776	0.51222	0.522986	0.86256	0.873174	0.253578	0.853967	0.701112	2948
226	John	6	Christian/Church Of Christ	0.166215	0.176932	0.095847	0.523253	0.503513	0.664694	0.807821	0.151349	0.885049	0.635816	2296
227	1 Peter	3	Bible Church	0.192375	0.164162	0.098399	0.521572	0.548955	0.963885	0.750929	0.156322	0.271019	0.650633	3032
228	1 Thessalonians	5	Baptist	0.086709	0.042743	0.050293	0.694247	0.528143	0.664792	0.987312	0.727913	0.999752	0.653734	1053
229	Matthew	25	Christian/Church Of Christ	0.159542	0.144866	0.127966	0.50117	0.526552	0.745024	0.950519	0.166583	0.885101	0.867205	817
230	Exodus	20	Congregational	0.44108	0.186028	0.138203	0.534145	0.251314	0.852713	0.903679	0.142226	0.476388	0.715513	2690
231	Matthew	24	Nazarene	0.156075	0.161769	0.144777	0.54686	0.528843	0.802156	0.80629	0.21449	0.780471	0.689476	1895
232	Matthew	1	Christian/Church Of Christ	0.153243	0.156548	0.159116	0.528913	0.513201	0.756081	0.518485	0.197673	0.82534	0.565589	2347
233	Philippians	4	Christian/Church Of Christ	0.107684	0.117101	0.10615	0.594522	0.517716	0.619745	0.629673	0.282051	0.988383	0.433135	2835
234	Mark	6	Episcopal	0.157543	0.138824	0.121425	0.554989	0.552577	0.695714	0.771327	0.244845	0.858142	0.530041	2761
235	Psalms	119	Independent/Bible	0.177276	0.468489	0.145339	0.547266	0.508856	0.947625	0.883686	0.478523	0.825311	0.736806	868
236	2 Samuel	23	Baptist	0.161983	0.187005	0.543838	0.507686	0.25162	0.77476	0.769968	0.152348	0.913629	0.678777	2921
237	1 Samuel	17	Pentecostal	0.53322	0.436439	0.605753	0.453006	0.514972	0.771769	0.902609	0.359594	0.632616	0.53929	1991
238	Luke	15	Anglican	0.11578	0.438915	0.121732	0.575246	0.558585	0.690827	0.696095	0.169209	0.839286	0.498402	2857
239	Exodus	17	Evangelical/Non-Denominational	0.184008	0.165229	0.129467	0.152811	0.574604	0.871694	0.681657	0.136113	0.432593	0.756027	611
240	Matthew	28	Evangelical/Non-Denominational	0.169772	0.159369	0.113143	0.178795	0.542949	0.830801	0.515747	0.211689	0.843151	0.591086	2813
241	Isaiah	7	Evangelical/Non-Denominational	0.146195	0.1153	0.099315	0.513051	0.470913	0.804053	0.783596	0.238709	0.836955	0.71243	1291
242	Isaiah	11	Evangelical/Non-Denominational	0.184883	0.168356	0.126159	0.48043	0.252326	0.93012	0.580354	0.379048	0.362135	0.729351	1417
243	Isaiah	9	Evangelical/Non-Denominational	0.181175	0.176695	0.094605	0.229107	0.498191	0.937263	0.812902	0.151606	0.646021	0.706101	1273
