book,anger,disgust,fear,joy,sadness,openness,conscientiousness,extraversion,agreeableness,emotional_range
Philippians,0.110731757,0.129053924,0.202525211,0.595492494,0.453026823,0.939164337,0.737726446,0.218317574,0.890595964,0.524709989
Colossians,0.102473625,0.411871829,0.084383931,0.582222779,0.37480916,0.959876964,0.786330296,0.33248438,0.788150506,0.667054464
1 Thessalonians,0.107905327,0.375437862,0.182093201,0.554296814,0.430900665,0.859254653,0.931978764,0.325653608,0.935985746,0.72765313
2 Thessalonians,0.11557271,0.236721615,0.09422099,0.627750946,0.384609535,0.950228043,0.947172942,0.193338375,0.903875989,0.835153437
1 Timothy,0.170603406,0.472125761,0.110974551,0.502190946,0.262964563,0.959187458,0.564225852,0.229436367,0.641653354,0.531549213
2 Timothy,0.144807746,0.264376368,0.122660534,0.552121037,0.55570688,0.941708954,0.69690844,0.119640091,0.823223906,0.471044919
Titus,0.246955462,0.603344223,0.085630517,0.595753547,0.21778429,0.919459215,0.549316713,0.280142504,0.694399725,0.412998892
Hebrews,0.136558021,0.361384938,0.278527921,0.437084137,0.424765549,0.950208232,0.81131258,0.106433477,0.695509514,0.707911901
James,0.143341487,0.471826985,0.126587139,0.371642551,0.426309409,0.939752635,0.667610411,0.09437158,0.648593228,0.604093309
1 Peter,0.106322301,0.328456797,0.335747187,0.509680157,0.260334085,0.961774057,0.734926524,0.174276307,0.793709805,0.681289489
2 Peter,0.373232467,0.283205913,0.122280832,0.511177535,0.497943098,0.955843551,0.77852238,0.16618768,0.664424224,0.637456291
1 John,0.167550454,0.247326049,0.213936124,0.554099019,0.411426068,0.957190108,0.81197687,0.072820116,0.704919475,0.680781028
Revelation,0.147999021,0.356634881,0.188806708,0.4920467,0.39674666,0.984512783,0.664586089,0.210327731,0.534141024,0.687233524
