chapter,anger,disgust,fear,joy,sadness,openness,conscientiousness,extraversion,agreeableness,emotional_range,weight
58,0.198818,0.118073,0.555863,0.59336,0.514006,0.865529,0.965715,0.069464,0.734772,0.74577,993
59,0.174574,0.450939,0.637172,0.546581,0.487519,0.943952,0.923553,0.079743,0.561794,0.683636,968
60,0.174194,0.509625,0.120233,0.519714,0.477672,0.806706,0.977416,0.342465,0.828735,0.778168,791
61,0.185326,0.517701,0.0808,0.556045,0.47571,0.876711,0.955399,0.120967,0.870489,0.79494,444
62,0.160063,0.477515,0.088524,0.55622,0.246019,0.904813,0.954957,0.151125,0.725622,0.803436,381
63,0.196036,0.141145,0.149047,0.444859,0.612413,0.850198,0.872083,0.033676,0.528463,0.57338,395
64,0.149682,0.097925,0.125165,0.580052,0.488054,0.92826,0.977157,0.116681,0.782625,0.801782,558
65,0.200081,0.43369,0.622005,0.143599,0.486556,0.84572,0.945385,0.094879,0.674722,0.705238,607
66,0.453283,0.152456,0.116345,0.500811,0.281421,0.919083,0.956258,0.316397,0.919632,0.693298,528
67,0.541475,0.101467,0.521044,0.491774,0.491621,0.9449,0.95307,0.075321,0.80122,0.689575,744
68,0.191864,0.139715,0.145735,0.48961,0.579216,0.947361,0.937336,0.074607,0.766037,0.719867,734
69,0.570935,0.467669,0.162952,0.434844,0.576114,0.950227,0.878753,0.055922,0.688626,0.734426,642
70,0.479995,0.161378,0.138215,0.474087,0.241552,0.903391,0.863287,0.27883,0.581104,0.699144,501
71,0.227731,0.579886,0.547582,0.498869,0.451028,0.860275,0.878349,0.139161,0.747034,0.650691,480
72,0.501229,0.109983,0.136372,0.532733,0.579504,0.94351,0.91561,0.038192,0.78598,0.678803,619
73,0.230993,0.144988,0.177059,0.520526,0.466688,0.910272,0.935799,0.223304,0.927405,0.709385,458
74,0.512892,0.592454,0.161649,0.459395,0.492286,0.952158,0.937384,0.014713,0.659975,0.676568,570
75,0.127811,0.545297,0.145768,0.462229,0.605018,0.740502,0.827038,0.013818,0.70393,0.638376,408
76,0.106259,0.144883,0.566173,0.568281,0.47701,0.959186,0.94993,0.154282,0.747489,0.657904,541
77,0.173486,0.129618,0.148662,0.507657,0.550254,0.771417,0.95836,0.008246,0.605931,0.692087,502
78,0.193413,0.406716,0.163726,0.238584,0.221624,0.952679,0.948483,0.272933,0.734949,0.769898,412
79,0.180036,0.130964,0.563413,0.131447,0.563413,0.946499,0.934046,0.03752,0.77784,0.655914,487
80,0.191002,0.180563,0.700982,0.504298,0.550427,0.931078,0.689179,0.130866,0.845253,0.428303,356
81,0.479992,0.525112,0.155949,0.095066,0.289005,0.934858,0.428821,0.276835,0.054537,0.65599,256
82,0.136487,0.445903,0.106557,0.183846,0.532443,0.896058,0.967622,0.250685,0.800111,0.756366,200
83,0.2329,0.188585,0.126835,0.526195,0.505473,0.883439,0.947659,0.050748,0.568122,0.745523,387
84,0.128257,0.160636,0.117151,0.488185,0.498355,0.781395,0.822133,0.002657,0.574239,0.631908,260
85,0.225002,0.184285,0.099854,0.566076,0.597996,0.98838,0.829059,0.145343,0.438734,0.793318,239
86,0.455234,0.124941,0.089288,0.294525,0.17861,0.934186,0.830917,0.03756,0.132275,0.685564,157
87,0.109377,0.140691,0.63085,0.575128,0.169339,0.974821,0.908526,0.065068,0.685791,0.74248,181
88,0.170385,0.140865,0.146935,0.614751,0.567857,0.908024,0.910953,0.180018,0.640195,0.657952,200
89,0.193586,0.410858,0.117023,0.574653,0.517193,0.897811,0.838591,0.302445,0.93605,0.645959,319
90,0.168969,0.548411,0.125065,0.498328,0.578954,0.978141,0.835452,0.267891,0.58568,0.55394,186
91,0.168159,0.136319,0.588123,0.605562,0.605697,0.959309,0.798644,0.145144,0.460915,0.706172,162
92,0.11494,0.160591,0.187806,0.468829,0.489748,0.909234,0.91533,0.129905,0.736631,0.823359,209
93,0.116445,0.118918,0.153141,0.578814,0.487428,0.973784,0.591647,0.334984,0.904143,0.542347,103
94,0.417176,0.083377,0.198588,0.01264,0.374551,0.989998,0.643693,0.338651,0.725345,0.80787,64
95,0.097637,0.107245,0.082548,0.308221,0.264882,0.802507,0.948973,0.273645,0.362979,0.923504,73
96,0.161538,0.467864,0.165334,0.436654,0.509154,0.934214,0.717852,0.049225,0.693213,0.72239,167
97,0.103887,0.011576,0.232649,0.44009,0.058357,0.593629,0.932681,0.162487,0.546344,0.821559,54
98,0.149474,0.094071,0.154842,0.527494,0.527974,0.972569,0.889127,0.349038,0.597556,0.68072,182
99,0.143973,0.183704,0.158884,0.076394,0.45158,0.935671,0.933765,0.208284,0.750042,0.489914,90
